,Date,Number of reported results
140,2022-05-27,63846
141,2022-05-28,60069
142,2022-05-29,56839
143,2022-05-30,60969
144,2022-05-31,62768
145,2022-06-01,63241
146,2022-06-02,61278
147,2022-06-03,65431
148,2022-06-04,58263
149,2022-06-05,56738
150,2022-06-06,58478
151,2022-06-07,58991
152,2022-06-08,61026
153,2022-06-09,60020
154,2022-06-10,55376
155,2022-06-11,51958
156,2022-06-12,56684
157,2022-06-13,53802
158,2022-06-14,59968
159,2022-06-15,55989
160,2022-06-16,53430
161,2022-06-17,54665
162,2022-06-18,47205
163,2022-06-19,55359
164,2022-06-20,50484
165,2022-06-21,53342
166,2022-06-22,47645
167,2022-06-23,53111
168,2022-06-24,50617
169,2022-06-25,46089
170,2022-06-26,50450
171,2022-06-27,47986
172,2022-06-28,47312
173,2022-06-29,45645
174,2022-06-30,44212
175,2022-07-01,47248
176,2022-07-02,41765
177,2022-07-03,40486
178,2022-07-04,42645
179,2022-07-05,44578
180,2022-07-06,47344
181,2022-07-07,43407
182,2022-07-08,42806
183,2022-07-09,47094
184,2022-07-10,41785
185,2022-07-11,40545
186,2022-07-12,46910
187,2022-07-13,46246
188,2022-07-14,40549
189,2022-07-15,39234
190,2022-07-16,38769
191,2022-07-17,39611
192,2022-07-18,42574
193,2022-07-19,39667
194,2022-07-20,42237
195,2022-07-21,39086
196,2022-07-22,43099
197,2022-07-23,36769
198,2022-07-24,39813
199,2022-07-25,39228
200,2022-07-26,39171
201,2022-07-27,38384
202,2022-07-28,40650
203,2022-07-29,37791
204,2022-07-30,37353
205,2022-07-31,39250
206,2022-08-01,36662
207,2022-08-02,34909
208,2022-08-03,38381
209,2022-08-04,37229
210,2022-08-05,37350
211,2022-08-06,38841
212,2022-08-07,36223
213,2022-08-08,35516
214,2022-08-09,36223
215,2022-08-10,37654
216,2022-08-11,37301
217,2022-08-12,34198
218,2022-08-13,35276
219,2022-08-14,31652
220,2022-08-15,35376
221,2022-08-16,35105
222,2022-08-17,35815
223,2022-08-18,34938
224,2022-08-19,33965
225,2022-08-20,38245
226,2022-08-21,35617
227,2022-08-22,35888
228,2022-08-23,33549
229,2022-08-24,33700
230,2022-08-25,36737
231,2022-08-26,34716
232,2022-08-27,31241
233,2022-08-28,30214
234,2022-08-29,34281
235,2022-08-30,33660
236,2022-08-31,35343
237,2022-09-01,31903
238,2022-09-02,35724
239,2022-09-03,31191
240,2022-09-04,32018
241,2022-09-05,32733
242,2022-09-06,32734
243,2022-09-07,30992
244,2022-09-08,31962
245,2022-09-09,32172
246,2022-09-10,29237
247,2022-09-11,27887
248,2022-09-12,29147
249,2022-09-13,29497
250,2022-09-14,32142
251,2022-09-15,33344
252,2022-09-16,37309
253,2022-09-17,33418
254,2022-09-18,33102
255,2022-09-19,35050
256,2022-09-20,31277
257,2022-09-21,31976
258,2022-09-22,34455
259,2022-09-23,31509
260,2022-09-24,32777
261,2022-09-25,28994
262,2022-09-26,31706
263,2022-09-27,30985
264,2022-09-28,31355
265,2022-09-29,30477
266,2022-09-30,31223
267,2022-10-01,28202
268,2022-10-02,30088
269,2022-10-03,32288
270,2022-10-04,32014
271,2022-10-05,30935
272,2022-10-06,32522
273,2022-10-07,29026
274,2022-10-08,26905
275,2022-10-09,28408
276,2022-10-10,26878
277,2022-10-11,28575
278,2022-10-12,29151
279,2022-10-13,27197
280,2022-10-14,28906
281,2022-10-15,30403
282,2022-10-16,30459
283,2022-10-17,31269
284,2022-10-18,28612
285,2022-10-19,28322
286,2022-10-20,28741
287,2022-10-21,28637
288,2022-10-22,29084
289,2022-10-23,29279
290,2022-10-24,28947
291,2022-10-25,28953
292,2022-10-26,30063
293,2022-10-27,27609
294,2022-10-28,27905
295,2022-10-29,25156
296,2022-10-30,24672
297,2022-10-31,26498
298,2022-11-01,27502
299,2022-11-02,27670
300,2022-11-03,29554
301,2022-11-04,27330
302,2022-11-05,29743
303,2022-11-06,31068
304,2022-11-07,26096
305,2022-11-08,27213
306,2022-11-09,28984
307,2022-11-10,27467
308,2022-11-11,25993
309,2022-11-12,24660
310,2022-11-13,25085
311,2022-11-14,26536
312,2022-11-15,27475
313,2022-11-16,25576
314,2022-11-17,27465
315,2022-11-18,29208
316,2022-11-19,24749
317,2022-11-20,24991
318,2022-11-21,24288
319,2022-11-22,27437
320,2022-11-23,26663
321,2022-11-24,27705
322,2022-11-25,24197
323,2022-11-26,26381
324,2022-11-27,25206
325,2022-11-28,26051
326,2022-11-29,23739
327,2022-11-30,2569
328,2022-12-01,22628
329,2022-12-02,24646
330,2022-12-03,23873
331,2022-12-04,25577
332,2022-12-05,23153
333,2022-12-06,23509
334,2022-12-07,24899
335,2022-12-08,21199
336,2022-12-09,23640
337,2022-12-10,21157
338,2022-12-11,21947
339,2022-12-12,22873
340,2022-12-13,24101
341,2022-12-14,20824
342,2022-12-15,22176
343,2022-12-16,22853
344,2022-12-17,22336
345,2022-12-18,22166
346,2022-12-19,26010
347,2022-12-20,24137
348,2022-12-21,22180
349,2022-12-22,20490
350,2022-12-23,21937
351,2022-12-24,20281
352,2022-12-25,15554
353,2022-12-26,20011
354,2022-12-27,20879
355,2022-12-28,20160
356,2022-12-29,20001
357,2022-12-30,21204
358,2022-12-31,20380
